timestamp,packet_count
1610668800,41271
1610668801,41293
1610668802,40541
1610668803,41371
1610668804,41606
1610668805,41371
1610668806,41747
1610668807,41439
1610668808,40697
1610668809,41286
1610668810,40295
1610668811,40091
1610668812,39952
1610668813,38598
1610668814,39761
1610668815,39771
1610668816,39437
1610668817,39488
1610668818,39862
1610668819,39236
1610668820,39682
1610668821,39833
1610668822,38927
1610668823,40589
1610668824,39130
1610668825,39356
1610668826,40368
1610668827,40280
1610668828,39977
1610668829,41209
1610668830,40451
1610668831,40498
1610668832,40383
1610668833,39520
1610668834,40098
1610668835,40264
1610668836,38887
1610668837,39574
1610668838,38705
1610668839,38660
1610668840,39381
1610668841,38573
1610668842,38870
1610668843,39138
1610668844,38698
1610668845,33561
1610668846,33072
1610668847,32452
1610668848,32787
1610668849,33210
1610668850,33448
1610668851,1306
1610690400,34009
1610690401,33532
1610690402,34467
1610690403,33792
1610690404,33745
1610690405,35268
1610690406,33422
1610690407,34049
1610690408,34777
1610690409,33614
1610690410,34066
1610690411,33523
1610690412,33812
1610690413,34265
1610690414,33851
1610690415,33946
1610690416,34637
1610690417,34649
1610690418,34874
1610690419,34680
1610690420,33815
1610690421,34285
1610690422,34549
1610690423,33677
1610690424,34122
1610690425,34748
1610690426,34335
1610690427,33986
1610690428,34850
1610690429,33998
1610690430,33891
1610690431,34537
1610690432,33905
1610690433,34028
1610690434,34298
1610690435,33529
1610690436,33956
1610690437,33669
1610690438,33649
1610690439,34582
1610690440,33759
1610690441,39653
1610690442,56651
1610690443,34435
1610690444,33482
1610690445,34393
1610690446,34637
1610690447,33829
1610690448,34292
1610690449,35555
1610690450,33780
1610690451,33714
1610690452,34778
1610690453,34362
1610690454,33926
1610690455,34842
1610690456,34999
1610690457,23526
1610712000,42296
1610712001,41668
1610712002,41615
1610712003,43109
1610712004,42082
1610712005,42248
1610712006,42055
1610712007,42268
1610712008,42640
1610712009,42111
1610712010,41988
1610712011,42331
1610712012,42691
1610712013,42411
1610712014,42098
1610712015,42264
1610712016,42870
1610712017,42169
1610712018,42426
1610712019,42379
1610712020,41842
1610712021,42196
1610712022,42371
1610712023,42440
1610712024,42171
1610712025,42526
1610712026,42263
1610712027,42106
1610712028,42657
1610712029,42578
1610712030,42297
1610712031,42150
1610712032,42002
1610712033,42534
1610712034,42469
1610712035,42528
1610712036,42343
1610712037,43409
1610712038,43128
1610712039,42787
1610712040,43097
1610712041,43017
