timestamp,packet_count
1736899200,41086
1736899201,41361
1736899202,41027
1736899203,41352
1736899204,41161
1736899205,41142
1736899206,41040
1736899207,41066
1736899208,41138
1736899209,41173
1736899210,41019
1736899211,41172
1736899212,41264
1736899213,40971
1736899214,41244
1736899215,40947
1736899216,41295
1736899217,41349
1736899218,41035
1736899219,41478
1736899220,41319
1736899221,41332
1736899222,41259
1736899223,41343
1736899224,41239
1736899225,41135
1736899226,41255
1736899227,41708
1736899228,41834
1736899229,41836
1736899230,41978
1736899231,42039
1736899232,41732
1736899233,41664
1736899234,41643
1736899235,41773
1736899236,41794
1736899237,41453
1736899238,41478
1736899239,41430
1736899240,41453
1736899241,41949
1736899242,41380
1736899243,41345
1736899244,41683
1736899245,41576
1736899246,41360
1736899247,41715
1736899248,12975
1736920800,41671
1736920801,41116
1736920802,41358
1736920803,41569
1736920804,41573
1736920805,41515
1736920806,41866
1736920807,41309
1736920808,41325
1736920809,41435
1736920810,41154
1736920811,40464
1736920812,40276
1736920813,40358
1736920814,40224
1736920815,41296
1736920816,41140
1736920817,41129
1736920818,41248
1736920819,41083
1736920820,41357
1736920821,41090
1736920822,41242
1736920823,41240
1736920824,41095
1736920825,41479
1736920826,41163
1736920827,41323
1736920828,41166
1736920829,41012
1736920830,41240
1736920831,40953
1736920832,41430
1736920833,42240
1736920834,41120
1736920835,41113
1736920836,41098
1736920837,40913
1736920838,41573
1736920839,41252
1736920840,41366
1736920841,41337
1736920842,41001
1736920843,41076
1736920844,41507
1736920845,41666
1736920846,41354
1736920847,41253
1736920848,21232
1736942400,44082
1736942401,43902
1736942402,44116
1736942403,44089
1736942404,43973
1736942405,44453
1736942406,43770
1736942407,44294
1736942408,44389
1736942409,44149
1736942410,44160
1736942411,44595
1736942412,44088
1736942413,44161
1736942414,44201
1736942415,43960
1736942416,44138
1736942417,44264
1736942418,44366
1736942419,44231
1736942420,43988
1736942421,44282
1736942422,44523
1736942423,44479
1736942424,44418
1736942425,44603
1736942426,44839
1736942427,44397
1736942428,44385
1736942429,44574
1736942430,44757
1736942431,44587
1736942432,44803
1736942433,45079
1736942434,44609
1736942435,44962
1736942436,44308
1736942437,46216
1736942438,44895
1736942439,44475
1736942440,44273
1736942441,44702
1736942442,44625
1736942443,44502
1736942444,44920
1736942445,418
1736964000,41135
1736964001,41432
1736964002,41043
1736964003,41514
1736964004,41324
1736964005,41307
1736964006,41162
1736964007,41527
1736964008,41178
1736964009,41479
1736964010,41570
1736964011,41077
1736964012,41365
1736964013,41155
1736964014,41472
1736964015,41031
1736964016,41450
1736964017,41340
1736964018,41716
1736964019,41457
1736964020,41197
1736964021,41618
1736964022,41306
1736964023,41550
1736964024,41363
1736964025,41357
1736964026,41312
1736964027,41257
1736964028,41259
1736964029,41184
1736964030,41463
1736964031,41071
1736964032,41133
1736964033,41145
1736964034,41358
1736964035,41138
1736964036,41109
1736964037,41252
1736964038,41190
1736964039,40996
1736964040,41059
1736964041,41133
1736964042,40983
1736964043,41093
1736964044,41100
1736964045,41236
1736964046,40987
1736964047,41014
1736964048,19403
1739577600,53704
1739577601,55319
1739577602,56084
1739577603,56092
1739577604,56287
1739577605,56003
1739577606,55954
1739577607,55092
1739577608,51816
